鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
三峽區,房地(土地+建物)+車位,新北市三峽區國際一街61~90號,32.31,住,,,10410,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1021211,173.64,3,2,2,有,有,有,21000,121,坡道平面,29.7,0,,RPWOMLPJJIKFFIF56CC
板橋區,建物,新北市板橋區文化路一段331~360號,0.0,住,,,10410,土地0建物1車位0,一層,4,店面(店鋪),住家用,加強磚造,,82.45,0,0,0,無,無,無,220000,2668,,0.0,0,第1-2年22萬，第3-4年231000元,RPSQMLPJJIKFFAF18CC
五股區,房地(土地+建物)+車位,新北市五股區芳洲七路1~30號,13.96,住,,,10410,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040820,103.78999999999999,2,2,1,有,有,無,14500,149,坡道平面,26.49,3000,,RPQRMLPJJIKFFBF18CC
林口區,房地(土地+建物)+車位,新北市林口區文化二路二段151~180號,17.58,商,,,10411,土地1建物1車位1,十八層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001101,185.81,3,2,3,有,有,有,35000,188,坡道平面,0.0,0,,RPRSMLPJJIKFFBF38CC
淡水區,房地(土地+建物),新北市淡水區民生路151~180號,15.22,住,,,10411,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840801,87.99,2,2,1,有,有,有,15000,170,,0.0,0,,RPVOMLPJJIKFFEF68CC
汐止區,建物,新北市汐止區新臺五路一段91~120號,0.0,工,,,10411,土地0建物1車位0,十三層,35,工廠,工業用,見其他登記事項,1031013,327.81,0,0,0,無,無,有,74378,,,0.0,0,,RPVNMLPJJIKFFDF48CC
汐止區,房地(土地+建物)+車位,新北市汐止區新臺五路二段151~180號,0.0,其他,,,10411,土地2建物1車位1,十九層,37,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0851230,147.01,3,2,2,有,有,有,18000,122,坡道平面,47.53,0,,RPPNMLQJJIKFFDF97CC
新莊區,房地(土地+建物)+車位,新北市新莊區思源路192巷1~30號,34.07,住,,,10410,土地1建物1車位1,十二層,25,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1031117,241.26999999999998,3,2,2,有,有,無,35000,145,坡道平面,40.62,0,,RPOSMLQJJIKFFBF18CC
三峽區,房地(土地+建物)+車位,新北市三峽區學成路241~270號,17.02,住,,,10410,土地1建物1車位1,七層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951117,146.88,3,2,2,有,有,有,19000,129,坡道平面,36.74,0,,RPPNMLQJJIKFFIF48CC
三重區,建物,新北市三重區三和路一段61~90號,0.0,住,,,10410,土地0建物1車位0,七層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040521,102.24000000000001,3,2,2,有,有,有,28000,274,,0.0,0,租金含管理費及一個機車位。,RPTNMLQJJIKFFGF68CC
