鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
嘉義市,房地(土地+建物),嘉義市嘉義巿文雅街271~300號,25.89,住,,,10410,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830408,129.60999999999999,3,2,2,有,有,3550000,27390,,0.0,0,,RPROMLOJJIKFFAI87CA
嘉義市,房地(土地+建物),嘉義市嘉義巿中央第二商場1~30號,41.0,住,,,10410,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0610315,116.81,4,2,1,有,無,4000000,34244,,0.0,0,,RPVNMLPJJIKFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義巿文雅街1巷1~30號,94.0,住,,,10410,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0930510,247.54,5,2,5,有,無,12000000,48477,,0.0,0,,RPQNMLQJJIKFFAI87CA
嘉義市,房地(土地+建物),嘉義市嘉義巿林森東路269巷58弄1~30號,67.0,住,,,10410,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660225,88.44,3,2,2,有,無,1700000,19222,,0.0,0,,RPRNMLLKJIKFFAI57CA
嘉義市,房地(土地+建物),嘉義市嘉義巿彌陀路121~150號,7.07,住,,,10410,土地1建物1車位0,八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850311,88.59,2,2,1,有,有,2680000,30252,,0.0,0,,RPXNMLRLJIKFFAI88CA
嘉義市,房地(土地+建物),嘉義市嘉義巿興安街203巷6弄1~30號,71.0,住,,,10410,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0800402,155.23,4,3,3,有,無,4200000,27057,,0.0,0,,RPROMLPLJIKFFAI18CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿國揚四街1~30號,24.73,住,,,10410,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820325,123.66,3,2,2,有,有,2100000,16982,坡道機械,0.0,0,,RPTNMLQKJIKFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義巿杭州四街61~90號,11.21,住,,,10410,土地1建物1車位0,六層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0780117,51.7,1,1,1,有,有,950000,18375,,0.0,0,,RPPNMLOKJIKFFAI67CA
嘉義市,土地,竹圍子段1~30地號,71.0,住,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2577300,36300,,0.0,0,,RPRNMLPJJIKFFAI97DA
嘉義市,土地,民族段五小段91~120地號,35.0,住,,,10411,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1985157,56719,,0.0,0,,RPRNMLQJJIKFFAI08DA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿博東路1~30號,18.0,住,,,10411,土地2建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830525,127.71000000000001,3,2,2,有,有,3600000,28189,坡道機械,0.0,0,,RPWOMLMJKIKFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義巿民權路1~30號,14.9,住,,,10410,土地1建物1車位0,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870421,105.67,3,1,2,有,有,4922884,46587,,0.0,0,,RPTPMLMJKIKFFAI08CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿泰山三街31~60號,23.87,住,,,10410,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820712,134.12,3,2,2,有,有,3350000,24978,坡道機械,0.0,0,,RPPNMLTLJIKFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義巿東義路156巷1弄1~30號,217.0,住,,,10410,土地3建物1車位0,全,三層,透天厝,住家用,見其他登記事項,0981102,274.4,5,2,6,有,有,15880000,57872,,0.0,0,,RPROMLNKJIKFFAI87CA
嘉義市,土地,元段四小段151~180地號,70.0,商,,,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6800000,97143,,0.0,0,含增建或未登記建物。,RPPNMLQJJIKFFAI77CA
嘉義市,房地(土地+建物),嘉義市嘉義巿林森東路679巷31~60號,56.0,住,,,10410,土地1建物1車位0,全,二層,透天厝,住家用,木造,0630906,79.58,4,2,1,有,無,1770000,22242,,0.0,0,,RPTNMLTJJIKFFAI48CA
