編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXNMLOLJIKFFEH88CA,1,457.12,見其他登記事項,鋼筋混凝土造,103年12月20日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPXNMLOLJIKFFEH88CA,1,4.21,共有部份,鋼筋混凝土造,103年12月20日,五層,
RPUOMLNKJIKFFEH48CA,9,82.44,住家用,鋼筋混凝土造,95年6月29日,十一層,三層
RPUOMLNKJIKFFEH48CA,9,8.67,共有部份,鋼筋混凝土造,95年6月29日,十一層,
RPUOMLNKJIKFFEH48CA,9,14.32,共有部份,鋼筋混凝土造,95年6月29日,十一層,
RPQNMLLLJIKFFFH97CA,1,82.66,住家用,鋼筋混凝土造,103年8月19日,十五層,十一層
RPQNMLLLJIKFFFH97CA,1,24.17,見其他登記事項,鋼筋混凝土造,103年8月19日,十五層,
RPQNMLLLJIKFFFH97CA,1,36.90,見其他登記事項,鋼筋混凝土造,103年8月19日,十五層,
RPRNMLLLJIKFFFH08CA,1,82.66,住家用,鋼筋混凝土造,103年8月19日,十五層,十三層
RPRNMLLLJIKFFFH08CA,1,24.17,見其他登記事項,鋼筋混凝土造,103年8月19日,十五層,
RPRNMLLLJIKFFFH08CA,1,36.90,見其他登記事項,鋼筋混凝土造,103年8月19日,十五層,
RPSNMLLLJIKFFFH18CA,1,82.66,住家用,鋼筋混凝土造,103年8月19日,十五層,十四層
RPSNMLLLJIKFFFH18CA,1,24.17,見其他登記事項,鋼筋混凝土造,103年8月19日,十五層,
RPSNMLLLJIKFFFH18CA,1,36.90,見其他登記事項,鋼筋混凝土造,103年8月19日,十五層,
RPTNMLLLJIKFFFH28CA,1,108.14,住家用,鋼筋混凝土造,103年8月19日,十五層,十四層
RPTNMLLLJIKFFFH28CA,1,21.69,見其他登記事項,鋼筋混凝土造,103年8月19日,十五層,
RPTNMLLLJIKFFFH28CA,1,66.67,見其他登記事項,鋼筋混凝土造,103年8月19日,十五層,
RPUNMLLLJIKFFFH38CA,1,108.27,住家用,鋼筋混凝土造,103年8月19日,十五層,十層
RPUNMLLLJIKFFFH38CA,1,20.33,見其他登記事項,鋼筋混凝土造,103年8月19日,十五層,
RPUNMLLLJIKFFFH38CA,1,66.67,見其他登記事項,鋼筋混凝土造,103年8月19日,十五層,
RPVNMLLLJIKFFFH48CA,1,108.14,住家用,鋼筋混凝土造,103年8月19日,十五層,十四層
RPVNMLLLJIKFFFH48CA,1,21.69,見其他登記事項,鋼筋混凝土造,103年8月19日,十五層,
RPVNMLLLJIKFFFH48CA,1,66.67,見其他登記事項,鋼筋混凝土造,103年8月19日,十五層,
RPPNMLMKJIKFFGH97CA,13,154.57,見其他登記事項,鋼骨鋼筋混凝土造,91年5月9日,十四層,地下一層
RPPNMLMKJIKFFGH97CA,13,64.21,共有部份,鋼骨鋼筋混凝土造,91年5月9日,十四層,
RPPNMLMKJIKFFGH97CA,13,25.83,共有部份,鋼骨鋼筋混凝土造,91年5月9日,十四層,
RPPNMLMKJIKFFGH97CA,13,.14,共有部份,鋼骨鋼筋混凝土造,91年5月9日,十四層,
RPONNLMKJIKFFGH97CA,,88.25,住家用,鋼筋混凝土造,104年4月16日,十四層,十四層
RPONNLMKJIKFFGH97CA,,16.43,共有部份,鋼筋混凝土造,104年4月16日,十四層,
RPONNLMKJIKFFGH97CA,,49.77,共有部份,鋼筋混凝土造,104年4月16日,十四層,
RPPNNLMKJIKFFGH08CA,,81.21,住家用,鋼筋混凝土造,104年4月16日,十四層,七層
RPPNNLMKJIKFFGH08CA,,15.12,共有部份,鋼筋混凝土造,104年4月16日,十四層,
RPPNNLMKJIKFFGH08CA,,44.09,共有部份,鋼筋混凝土造,104年4月16日,十四層,
