編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLQLJIKFFHL66CA,35,77.38,住家用,加強磚造,69年6月30日,二層,一層 二層
RPTNMLQLJIKFFHL76CA,4,203.22,見其他登記事項,鋼筋混凝土造,101年1月16日,四層,一層 二層 三層 四層 騎樓
RPQNMLOJKIKFFHL78CA,,247.86,見其他登記事項,鋼筋混凝土造,104年5月28日,四層,一層 二層 三層 四層 見其他登記事項
RPQNMLOJKIKFFHL78CA,,2.35,見其他登記事項,鋼筋混凝土造,104年5月28日,一層,
RPWNMLRLJIKFFHL17CA,1,232.44,見其他登記事項,鋼筋混凝土造,103年11月25日,四層,一層 二層 三層 四層
RPWNMLRLJIKFFHL17CA,1,2.96,見其他登記事項,鋼筋混凝土造,103年11月25日,一層,
RPPNMLSLJIKFFHL56CA,22,106.43,見其他登記事項,鋼筋混凝土造,82年6月28日,七層,一層 二層 騎樓
RPPNMLSLJIKFFHL56CA,22,14.39,共有部份,鋼筋混凝土造,82年6月28日,七層,
RPSNMLNLJIKFFHL98CA,11,161.83,見其他登記事項,鋼筋混凝土造,93年12月16日,四層,一層 二層 三層 四層
RPPNMLNLJIKFFHL68CA,,293.90,見其他登記事項,鋼筋混凝土造,104年4月7日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPSNMLRLJIKFFHL76CA,1,235.33,見其他登記事項,鋼筋混凝土造,103年11月25日,四層,一層 二層 三層 四層
RPSNMLRLJIKFFHL76CA,1,2.96,見其他登記事項,鋼筋混凝土造,103年11月25日,一層,
RPRNMLOLJIKFFHL98CA,35,95.18,住家用,鋼筋混凝土造,69年6月1日,二層,一層 二層
RPRNMLMKJIKFFHL68CA,24,85.25,見其他登記事項,鋼筋混凝土造,81年3月25日,六層,六層
RPRNMLMKJIKFFHL68CA,24,8.93,見其他登記事項,鋼筋混凝土造,81年3月25日,六層,
RPPNMLMKJIKFFHL48CA,20,102.03,見其他登記事項,鋼筋混凝土造,84年7月7日,十二層,十層
RPPNMLMKJIKFFHL48CA,20,31.79,見其他登記事項,鋼筋混凝土造,84年7月7日,十二層,地下一層 地下二層
RPPNMLMKJIKFFHL48CA,20,21.71,共有部份,鋼筋混凝土造,84年7月7日,十二層,
RPPNMLRLJIKFFGL98CA,30,104.30,見其他登記事項,加強磚造,74年7月15日,二層,一層 二層 屋頂突出物
RPRNMLKLJIKFFGL48CA,23,58.39,見其他登記事項,鋼筋混凝土造,81年4月25日,六層,三層
RPRNMLKLJIKFFGL48CA,23,18.83,共有部分,鋼筋混凝土造,81年4月25日,六層,
RPQOMLKKKIKFFFL38CA,,239.32,見其他登記事項,鋼筋混凝土造,104年7月31日,七層,一層 二層 三層 四層 騎樓 地下二層
RPQOMLKKKIKFFFL38CA,,24.79,見其他登記事項,鋼筋混凝土造,104年7月31日,七層,
RPROMLKKKIKFFFL48CA,,212.55,見其他登記事項,鋼筋混凝土造,104年7月31日,七層,一層 二層 三層 四層 騎樓 地下二層
RPROMLKKKIKFFFL48CA,,24.79,見其他登記事項,鋼筋混凝土造,104年7月31日,七層,
RPSOMLKKKIKFFFL58CA,,216.08,見其他登記事項,鋼筋混凝土造,104年7月31日,七層,一層 二層 三層 四層 騎樓 地下二層
RPSOMLKKKIKFFFL58CA,,24.79,見其他登記事項,鋼筋混凝土造,104年7月31日,七層,
RPTOMLKKKIKFFFL68CA,,239.05,見其他登記事項,鋼筋混凝土造,104年7月31日,七層,一層 二層 三層 四層 騎樓 地下二層
RPTOMLKKKIKFFFL68CA,,24.79,見其他登記事項,鋼筋混凝土造,104年7月31日,七層,
RPVOMLKKKIKFFFL88CA,,89.62,見其他登記事項,鋼筋混凝土造,104年7月31日,七層,二層
RPVOMLKKKIKFFFL88CA,,46.24,見其他登記事項,鋼筋混凝土造,104年7月31日,七層,
RPVOMLKKKIKFFFL88CA,,12.77,見其他登記事項,鋼筋混凝土造,104年7月31日,七層,
RPWOMLKKKIKFFFL98CA,,89.62,見其他登記事項,鋼筋混凝土造,104年7月31日,七層,三層
RPWOMLKKKIKFFFL98CA,,46.24,見其他登記事項,鋼筋混凝土造,104年7月31日,七層,
RPWOMLKKKIKFFFL98CA,,12.77,見其他登記事項,鋼筋混凝土造,104年7月31日,七層,
RPQNMLKMJIKFFFL38CA,8,127.97,見其他登記事項,鋼筋混凝土造,96年6月7日,六層,二層
RPQNMLKMJIKFFFL38CA,8,30.06,見其他登記事項,鋼筋混凝土造,96年6月7日,六層,
RPQNMLKMJIKFFFL38CA,8,12.26,見其他登記事項,鋼筋混凝土造,96年6月7日,六層,
RPQNMLKMJIKFFFL38CA,8,67.76,見其他登記事項,鋼筋混凝土造,96年6月7日,六層,
RPSNMLRJKIKFFFL09CA,19,23.79,共有部份,鋼筋混凝土造,85年4月19日,三層,
RPSNMLRJKIKFFFL09CA,19,117.88,住家用,鋼筋混凝土造,85年4月19日,三層,一層 二層 三層
RPTNMLRJKIKFFFL56CA,19,2.28,商業用,鋼筋混凝土造,85年9月16日,十一層,地下一層
RPTNMLRJKIKFFFL56CA,19,109.52,見其他登記事項,鋼筋混凝土造,85年9月16日,十一層,一層 騎樓
RPTNMLRJKIKFFFL56CA,19,.91,共有部份,鋼筋混凝土造,85年9月16日,十一層,
RPTNMLRJKIKFFFL56CA,19,43.61,共有部份,鋼筋混凝土造,85年9月16日,十一層,
RPRNMLNKJIKFFFL58CA,10,196.30,見其他登記事項,鋼筋混凝土造,94年10月28日,四層,一層 二層 三層 四層 見其他登記事項
