編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLRKJIKFFAI08DA,2,199.06,見其他登記事項,見其他登記事項,102年10月16日,三層,一層 二層 三層 見其他登記事項
RPOOMLRKJIKFFAI97CA,22,86.91,住家用,鋼筋混凝土造,82年5月26日,九層,八層
RPOOMLRKJIKFFAI97CA,22,11.57,共有部份,鋼筋混凝土造,82年5月26日,九層,
RPOOMLRKJIKFFAI97CA,22,16.52,共有部份,鋼筋混凝土造,82年5月26日,九層,
RPSNMLOLJIKFFAI08CA,23,98.27,住家用,鋼筋混凝土造,81年6月26日,十五層,九層
RPSNMLOLJIKFFAI08CA,23,25.93,共有部份,鋼筋混凝土造,81年6月26日,十五層,
RPSNMLOLJIKFFAI08CA,23,16.53,共有部份,鋼筋混凝土造,81年6月26日,十五層,
RPTNMLOLJIKFFAI18CA,32,73.12,住家用,鋼筋混凝土造,72年8月2日,八層,七層
RPTNMLOLJIKFFAI18CA,32,19.85,共有部份,鋼筋混凝土造,72年8月2日,八層,
RPTNMLOLJIKFFAI18CA,32,72.27,住家用,鋼筋混凝土造,72年8月2日,八層,七層
RPTNMLOLJIKFFAI18CA,32,19.85,共有部份,鋼筋混凝土造,72年8月2日,八層,
RPQOMLKMJIKFFAI67CA,39,80.08,住家用,木造,65年6月21日,二層,一層 二層
